col,OPC,EN,Microglia,oRG,Vascular,IN,IPC-EN,RG
A2M,-0.6574977603275602,-0.7036941657441096,-0.4698907035238144,-0.6465897855850226,-0.7628347654055366,-0.34193417961499323,-0.6016087856444787,-0.4518225364036541
A2ML1,-0.07713411513315274,-0.2564127442317407,-0.13253913178270874,-0.4631796321453558,-0.15103607720832635,-0.15328326891314106,-0.4441449597988404,-0.3594992098565586
AAMDC,-0.6574977603275602,-0.63845806364816,-0.6916219694379537,-0.6539426920398772,-0.43996615455403193,-0.3903560247951733,-0.6273661527692461,-0.4518225364036541
AAMP,-0.05459341186949607,-0.4041193897278275,0.3883298723461399,-0.3591575668909446,0.38524134464198323,-0.01859732627269475,0.05810907778143663,-0.10368171428246298
AASDHPPT,-0.4788918567182671,-0.40454151511612585,-0.6916219694379537,-0.6448765640783791,-0.7628347654055366,-0.3654458694969442,-0.6400060169640671,-0.4518225364036541
ABAT,-0.1818417130072123,-0.43371092031818953,-0.5907255593314614,-0.14878190381270046,-0.7628347654055366,-0.35497459574834644,-0.4012906783926017,-0.36999805938840313
ABCD3,-0.291220754942341,-0.10166376500859786,-0.4861173730418147,0.29795401262027,-0.6304790978788938,0.019070335954586817,-0.03660838326347609,-0.12977407692362064
ABCE1,-0.285069681165932,-0.4809820458837752,-0.5175971646273804,-0.4481445377399088,-0.7628347654055366,-0.3903560247951733,-0.4769590436508013,-0.4518225364036541
ABCF1,-0.4604053257022949,-0.5560174931970652,-0.5380238545259299,-0.39751199318787406,-0.15990522083049377,-0.3903560247951733,-0.42793285989498475,-0.37977205713953666
ABCF3,-0.6574977603275602,-0.6271754998841811,-0.6916219694379537,-0.6932351748606262,-0.7628347654055366,-0.3903560247951733,-0.6236409519484547,-0.4518225364036541
ABHD10,-0.6574977603275602,-0.6284357694662842,-0.6280001518490048,-0.652104014554892,-0.7628347654055366,-0.3903560247951733,-0.6348764438959281,-0.4518225364036541
ABHD17C,-0.6574977603275602,-0.6687267249478955,-0.6916219694379537,-0.6709891443557577,-0.7628347654055366,-0.3903560247951733,-0.6802733844188956,-0.4518225364036541
ABI1,-0.6072277186367778,-0.6238592923469739,-0.10134954829006593,-0.6102853743253764,-0.39146137007233767,-0.3675755940516103,-0.5950036085896607,-0.4518225364036541
ABI2,-0.6574977603275602,-0.7036941657441096,-0.6916219694379537,-0.6598760375566122,-0.7628347654055366,-0.3903560247951733,-0.6802733844188956,-0.4518225364036541
ABLIM1,-0.580058539833561,-0.7036941657441096,-0.5928764481241603,-0.6274594001943394,-0.7628347654055366,-0.3428705332301321,-0.6802733844188956,-0.4518225364036541
ABRACL,-0.6574977603275602,-0.5808091576163087,-0.45226372040601465,-0.6830562156780032,-0.7628347654055366,-0.3561103342805385,-0.6802733844188956,-0.4518225364036541
ACAA1,-0.6574977603275602,-0.7036941657441096,-0.3272952460298202,-0.6695416075142497,-0.7628347654055366,-0.3903560247951733,-0.6802733844188956,-0.4518225364036541
ACAA2,-0.35404909760034986,-0.06980775679468111,2.37320244230593,0.792516905756584,0.5233942008610728,-0.3235228668770842,0.9554845358211337,-0.18660959322097606
ACACA,-0.13427949795576222,-0.3424798771129543,-0.3947900199171024,-0.28103545011704845,-0.12176450612503702,-0.20917511155018573,-0.27924520501150135,-0.2061711653044979
ACAD8,-0.6574977603275602,-0.6581154611007745,-0.6916219694379537,-0.6636470635336784,-0.7628347654055366,-0.3903560247951733,-0.6802733844188956,-0.4518225364036541
ACADM,-0.391929739285169,-0.3642087803745056,1.7482474760489293,-0.031565040240857434,-0.6459080827246639,-0.34873681340270646,0.31725689116933753,-0.3765797392352363
ACADVL,-0.6574977603275602,-0.5676682825195039,1.581833164845904,-0.5438616481695709,1.2892951265861219,-0.3903560247951733,-0.5703012409268343,-0.4518225364036541
ACAP1,-0.5686695631464217,-0.630104089889906,-0.5291476152818351,-0.6200352371500869,-0.7628347654055366,-0.337550337875322,-0.6098358442781038,-0.4518225364036541
ACAT1,0.4012225825108678,0.11324776529393445,1.8484736030044593,0.24536900432170827,0.8767071391340747,-0.3101263206616056,0.06514340767637306,-0.4126966070541353
ACAT2,1.7762552575748023,1.6216790316603502,-0.1948075818066139,2.464266490164824,-0.09050611481645197,0.3009977946376898,2.2770665845370806,1.2227239786527335
ACBD3,-0.6574977603275602,-0.5806593666050527,-0.5460942393746419,-0.5673634302088119,-0.7628347654055366,-0.35537269152316203,-0.6802733844188956,-0.4518225364036541
ACIN1,0.39440502946531647,0.2529214827764566,-0.24873506034012727,-0.01246602415184743,-0.571590547725459,-0.25218460081122757,0.17899110520544864,-0.2684291921783723
ACLY,0.2270460365473929,-0.02984438081957406,0.2594197524350165,-0.1298170536211966,0.010164983890565624,-0.2995436078769393,0.13815245237806884,-0.3679775755060687
ACO1,-0.5246457113641662,-0.6299417810869276,-0.6916219694379537,-0.6237697548788695,-0.6281587196313254,-0.3903560247951733,-0.6109646312725425,-0.4518225364036541
ACO2,0.991309722296519,0.4125664962835559,2.005860273077226,0.8298613397998236,1.7456604405151726,-0.11945142407772028,0.7245366522435372,-0.23039412360234385
