Gene,n
ESRRA,424.0
SEMA3F,786.0
NIPAL3,325.0
NDUFAF7,442.0
M6PR,278.0
SLC7A2,699.0
ARF5,181.0
STPG1,288.0
CYP26B1,513.0
DBNDD1,159.0
CFTR,1481.0
HS3ST1,308.0
TMEM176A,236.0
USP28,1078.0
FUCA2,468.0
CYP51A1,510.0
FKBP4,460.0
UPP2,318.0
BCAP29,242.0
ZNF195,607.0
CCL18,90.0
DVL2,737.0
RALA,207.0
HOXA11,314.0
PDK4,412.0
HSPB6,161.0
SENP1,645.0
PRR5,380.0
CCL26,95.0
CX3CL1,398.0
PRSS21,315.0
CACNG3,316.0
BAIAP2L1,512.0
IFRD1,452.0
TMEM132A,1025.0
USH1C,900.0
RPAP3,666.0
COPZ2,209.0
GGCT,115.0
OSBPL7,843.0
YBX2,365.0
DYRK4,521.0
PLEKHG6,791.0
KRT33A,405.0
MAPK8IP2,599.0
RHBDD2,365.0
PDK2,344.0
TSR3,313.0
CRY1,587.0
ITGA3,1067.0
CPA1,420.0
STARD3NL,235.0
RPUSD1,313.0
DLX6,266.0
SPRTN,208.0
CEACAM7,266.0
IL32,169.0
CD74,297.0
SPATA20,803.0
PGLYRP1,197.0
NDUFAB1,157.0
ALDH3B1,466.0
FAM76A,342.0
MGST1,156.0
TFAP2D,453.0
CD9,229.0
SS18L2,78.0
RPS20,120.0
CD4,459.0
TRAF3IP3,532.0
TRAPPC6A,174.0
CAMK1G,477.0
KDM7A,810.0
RANBP9,730.0
LRRC23,344.0
CD79B,230.0
SYPL1,260.0
ARHGAP33,1288.0
FTSJ1,328.0
AKAP11,1902.0
PSMA4,262.0
SYT13,427.0
RANBP3,500.0
COX15,411.0
LCP2,534.0
FAM136A,139.0
UBR7,426.0
TTC17,1142.0
RTN4R,474.0
RTFDC1,307.0
ERCC1,324.0
CYP4F2,191.0
FAM65C,947.0
GABARAPL2,118.0
RGPD5,1766.0
DNASE1L1,303.0
MYOC,505.0
GUCA1A,202.0
VDAC3,284.0
ZFHX4,3568.0
XYLT2,866.0
HOXC8,243.0
CTNS,368.0
RB1CC1,1595.0
MS4A12,268.0
INMT,264.0
RALBP1,656.0
STRAP,364.0
TSPAN9,240.0
BEST2,510.0
NSMAF,918.0
MAP4K5,847.0
VPS13D,3211.0
MRPS10,202.0
FAM65A,1220.0
LRRC7,1538.0
HEBP1,190.0
DCN,360.0
BCLAF1,139.0
CDH17,833.0
PIGQ,761.0
QPCTL,383.0
GPRC5A,358.0
SNAI2,269.0
GABRA1,457.0
PPP5C,500.0
FAM13B,916.0
GOPC,455.0
PSD,1025.0
OTC,355.0
SCTR,441.0
SLC39A9,242.0
BOD1L1,3052.0
TNFRSF17,185.0
SLC7A9,488.0
HIVEP2,2447.0
NME1,178.0
CHPF2,773.0
ABHD5,45.0
SLC45A4,799.0
TARBP1,1622.0
RNASET2,72.0
PLEKHO1,376.0
SPATA7,459.0
B4GALT7,328.0
MRI1,370.0
ZPBP,352.0
FAM168A,245.0
TRIP13,433.0
AQR,1486.0
TRPM5,1166.0
EPN1,551.0
NEB,6670.0
PKP2,882.0
KRT14,473.0
KIAA2022,1517.0
FAM135B,153.0
PDCD2,222.0
YIPF1,307.0
DERL2,240.0
FGF22,130.0
GPATCH1,932.0
P4HA2,536.0
KLK14,268.0
EPHA8,1006.0
C17orf85,341.0
P2RY10,340.0
KLK13,100.0
STYK1,423.0
CDC27,825.0
FSTL3,264.0
RELT,431.0
METTL22,206.0
RCN1,332.0
MKRN2,417.0
DNAH2,873.0
APPBP2,586.0
BCL3,455.0
NMRK2,231.0
ISOC2,222.0
FAM50A,260.0
CAMSAP3,1250.0
KEAP1,625.0
KCNAB2,368.0
HDAC7,992.0
THAP3,240.0
CECR5,394.0
RGS11,85.0
PDZD4,770.0
REXO1,1222.0
NTN1,605.0
ACAP1,741.0
PPP1R3F,800.0
ISOC1,299.0
PRSS22,318.0
PIGV,494.0
FGF4,207.0
ARHGEF10L,983.0
TIMM21,249.0
ACTL6B,427.0
KDM4B,1097.0
CEACAM1,527.0
ZFY,802.0
RPL18,191.0
NFE2L3,695.0
ICAM3,548.0
CREB3L3,462.0
LMCD1,366.0
HSD17B10,262.0
VAMP3,101.0
TRIB2,344.0
PSMC4,419.0
TMEM161A,480.0
IL4R,826.0
CAMKK1,521.0
ST6GAL1,407.0
PYGM,843.0
FOXJ2,575.0
CBLN4,202.0
TNFRSF1A,456.0
PANX2,644.0
PRLH,88.0
BCAR1,871.0
PPP2R5B,498.0
MRPS35,324.0
CACNG5,297.0
INPP4A,978.0
FNDC8,325.0
TNS1,1736.0
RFC2,355.0
REEP1,202.0
GSC2,206.0
MBD3,292.0
ARHGEF5,1598.0
LLGL2,1016.0
KRT20,425.0
MNT,583.0
RDH8,312.0
NGFR,428.0
SLC2A3,497.0
SIKE1,208.0
BPIFB2,459.0
GOLGA5,732.0
NNAT,82.0
CELSR3,3313.0
NOX3,569.0
ENPP2,864.0
RAPGEF3,882.0
YTHDC2,1431.0
GRN,594.0
IL1RAP,571.0
MEF2B,369.0
CIC,1607.0
ST6GALNAC1,601.0
CTDP1,868.0
UTS2,140.0
ANO8,1233.0
CD22,848.0
SPP2,212.0
CLDN11,208.0
TRO,1432.0
VASH1,366.0
TNIP3,326.0
ADCK2,627.0
OTUD5,572.0
GNA11,360.0
PIGB,555.0
KIF22,666.0
CTTNBP2,1664.0
GPKOW,477.0
MASP1,381.0
CA11,329.0
TLL1,1014.0
KCNQ1,677.0
HSPB11,145.0
PSMD8,351.0
SLC25A1,312.0
CDC34,237.0
PLOD1,728.0
PTPN18,461.0
NAT14,207.0
CHRD,956.0
MAP2K5,449.0
VARS,1265.0
SIGLEC1,1702.0
XYLB,537.0
RBM22,421.0
PPP1R13B,1091.0
ASAH2B,161.0
MICALL1,864.0
TDRD3,652.0
GADD45B,161.0
MRPS34,226.0
PDXP,297.0
MORC2,971.0
MT3,69.0
C19orf26,448.0
LGALS2,133.0
DNAL4,106.0
TGFBR3,852.0
DLG3,850.0
ZW10,780.0
G2E3,707.0
TRIP6,477.0
TMEM14A,100.0
THAP7,310.0
PPP1R15A,675.0
TBX15,497.0
DLL3,619.0
DIMT1,314.0
PATZ1,538.0
ARPP21,813.0
TEKT2,431.0
SRRD,340.0
LAMB4,1762.0
OCEL1,265.0
GLG1,1204.0
SLC22A4,552.0
MCM5,735.0
GSTA3,223.0
CHERP,928.0
AMELY,193.0
HMGXB4,602.0
CD209,361.0
HBQ1,143.0
MAPK12,368.0
PCDH11Y,1341.0
CBX6,395.0
HAUS4,364.0
KRT23,423.0
NDUFB7,138.0
ZNF416,595.0
LMF2,683.0
NFKB2,900.0
ZNF184,752.0
GSTT2,245.0
NR1H4,483.0
OSTM1,335.0
FAP,761.0
COBLL1,1234.0
CPB2,424.0
RASD2,267.0
MARCH2,247.0
STXBP5,807.0
CEACAM21,293.0
SULT2B1,366.0
PIK3IP1,264.0
CRYBG3,1023.0
ZNF324,554.0
CLIC5,411.0
PCDHB2,799.0
CPNE3,538.0
TMED1,228.0
DMC1,341.0
AP3M2,419.0
GNPTG,306.0
SEC14L3,401.0
C4orf6,94.0
OSBPL6,935.0
RAB26,257.0
RBM41,312.0
FAR2,516.0
ALPK1,1245.0
TRPV1,838.0
AAAS,547.0
PDRG1,134.0
TGM1,818.0
NHP2L1,129.0
SLC13A1,596.0
ADH1A,376.0
USP18,373.0
TOMM22,143.0
HAUS5,634.0
C20orf112,176.0
MRPL28,257.0
DDTL,135.0
ASNS,562.0
PSMD5,505.0
UHRF1BP1,1441.0
RPS5,205.0
BIK,161.0
PLEKHG2,1255.0
DMRT3,473.0
ACTN1,893.0
VCL,1135.0
CCDC80,951.0
APOH,346.0
TRAM2,371.0
EFNA2,214.0
HSD17B2,388.0
CENPM,181.0
IGFALS,606.0
TPSD1,243.0
FGF22,171.0
PSME1,250.0
OSGEP,336.0
TBX21,536.0
C12orf5,271.0
CETP,494.0
MMP11,489.0
CEBPE,282.0
CEACAM6,345.0
TFAP2C,451.0
PVR,45.0
SEMA4G,844.0
BAG6,1127.0
TMEM38A,300.0
ESF1,852.0
JOSD1,203.0
BCL7C,218.0
PSG6,425.0
LAMP2,411.0
OTUB2,235.0
ASPHD2,370.0
TBC1D10A,509.0
GPANK1,357.0
STRADB,419.0
KDELR3,215.0
LTBP4,1587.0
C19orf77,131.0
XBP1,262.0
SF3A1,794.0
HMOX1,289.0
DNMT3B,846.0
EIF2AK1,631.0
CMTM6,184.0
MAP2,560.0
KLHL20,610.0
TRMT6,498.0
MTMR7,661.0
ADAM7,755.0
MUSK,870.0
PTHLH,176.0
ESR1,596.0
IMPG2,1242.0
SPG21,309.0
AQP2,272.0
DRD4,420.0
GOLGA3,1499.0
ATP5D,169.0
EPS8L1,724.0
PLA2G3,510.0
CTSA,481.0
CMA1,137.0
TFAP4,339.0
ADH7,387.0
DHPS,370.0
CBX5,192.0
CACNB4,459.0
SIRT1,748.0
ARSA,510.0
TMEM101,258.0
ITGB4,1823.0
MYO15A,3531.0
PRRT1,307.0
RASL10A,204.0
RRN3,652.0
RPGRIP1,1287.0
MZF1,735.0
MISP,680.0
MAPK13,366.0
SIRT4,315.0
SCT,122.0
CCL7,110.0
UQCRC1,481.0
CBY1,127.0
REM1,299.0
ACTR6,397.0
ABCC6,1504.0
RPL6,289.0
KIAA0141,516.0
ERLEC1,484.0
MAPK1,361.0
OSM,253.0
RNF215,344.0
RTCB,506.0
TSPAN32,321.0
NANS,360.0
CA12,355.0
MOK,96.0
ANKRD54,301.0
HEATR6,1182.0
LAPTM4A,234.0
UNC13D,1091.0
NIPSNAP1,285.0
HSCB,236.0
EPB41L1,780.0
PTBP3,183.0
SNAP91,903.0
EFNB1,347.0
SPAG7,228.0
RALGAPA2,1874.0
OXCT1,521.0
RHBDD3,387.0
SLC25A3,362.0
RGS17,211.0
SEMA5B,1093.0
TECR,309.0
PPP6R2,967.0
SERPIND1,500.0
TMEM131,1884.0
EPDR1,225.0
POLR2E,211.0
ALDH3A2,486.0
WISP2,251.0
PDCD7,486.0
CRYBB1,253.0
ADAM11,770.0
FLT3LG,154.0
PCDHB4,796.0
CATSPERG,518.0
VNN3,501.0
MIF,116.0
COMT,200.0
FGF20,212.0
MLF2,249.0
THPO,354.0
SUN2,718.0
CDK13,1513.0
TGM6,707.0
ZNF8,576.0
LAG3,526.0
NDUFB2,96.0
ZNF222,452.0
FAM107B,307.0
GAL3ST2,399.0
CDC6,561.0
RTDR1,349.0
MIOX,286.0
STX1B,289.0
CRYBB3,212.0
MOGAT2,335.0
FMO2,472.0
TIMM13,96.0
LGALS1,136.0
OR1I1,356.0
DLD,510.0
NAIP,1404.0
MYL6B,209.0
TCN2,428.0
CLDN18,262.0
SNRPD3,127.0
LST1,29.0
C22orf31,291.0
TMEM230,121.0
GTPBP1,670.0
MICAL3,977.0
RPS18,153.0
KIAA1467,623.0
STK10,969.0
SLC22A17,539.0
ANKRD16,305.0
SLC8B1,585.0
PILRA,304.0
AASDH,1099.0
SNAP29,259.0
OAS1,401.0
BAZ2A,1874.0
APOBEC3D,387.0
GMIP,971.0
LZTR1,841.0
NME8,589.0
