col,OPC,EN,Microglia,oRG,Vascular,IN,IPC-EN,RG
A2M,0.0,0.0,0.05352540292400305,0.006135571974785185,0.0,0.007962456633322767,0.01614528009353179,0.0
A2ML1,0.17383820922161386,0.08713103617808443,0.14218265741996686,0.06045593081937554,0.15110436671289246,0.0688360022609893,0.06026203633640176,0.017438290296319204
AAMDC,0.0,0.012232009068704915,0.0,0.010268847119406597,0.0856864361995862,0.0,0.014340976149516108,0.0
AAMP,0.19367347692116116,0.06523738169975955,0.30273796779605383,0.10782289475376929,0.3107211499061824,0.12992352302537954,0.23662610646701576,0.12476484218209785
AASDHPPT,0.0526988079184722,0.06354513421474908,0.0,0.010268847119406597,0.0,0.003026480134071927,0.007170488074758054,0.0
ABAT,0.14790308286482917,0.054391055403482685,0.0203446720123724,0.17450863822896814,0.0,0.004433713257394216,0.08271041476042985,0.02200467239872842
ABCD3,0.10789613108393556,0.12747654510312975,0.046016789810888886,0.3204703948984682,0.02390162691586018,0.1354852713729742,0.19766466200661859,0.10703973405549394
ABCE1,0.11136033801500561,0.04077336356234972,0.03850817669777474,0.07133374455699579,0.0,0.0,0.05537989030529353,0.0
ABCF1,0.04673608574041096,0.016309345424939888,0.025672117798516494,0.08131176936613971,0.14747124548331222,0.0,0.06435468232406728,0.0087191451481596
ABCF3,0.0,0.004077336356234972,0.0,0.0,0.0,0.0,0.004780325383172037,0.0
ABHD10,0.0,0.012232009068704915,0.012836058899258247,0.008557372599505498,0.0,0.0,0.009560650766344074,0.0
ABHD17C,0.0,0.004077336356234972,0.0,0.003422949039802199,0.0,0.0,0.0,0.0
ABI1,0.01019334089058743,0.012232009068704915,0.1615413199042131,0.021538842653895083,0.09560650766344073,0.0019094963651789126,0.021511464224274163,0.0
ABI2,0.0,0.0,0.0,0.005134423559703298,0.0,0.0,0.0,0.0
ABLIM1,0.01019334089058743,0.0,0.012836058899258247,0.006845898079604398,0.0,0.0019094963651789126,0.0,0.0
ABRACL,0.0,0.02684910700863433,0.06636146182326129,0.0017114745199010995,0.0,0.010664465594787578,0.0,0.0
ACAA1,0.0,0.0,0.09736102540792188,0.0017114745199010995,0.0,0.0,0.0,0.0
ACAA2,0.09347217148082192,0.14109423694426265,0.8653642904323687,0.49278629201203455,0.34680722878649595,0.017934595979402616,0.5276940242507079,0.09217145264066405
ACACA,0.13347912326171554,0.045543541304798714,0.046016789810888886,0.10004276694243286,0.13755117401945774,0.027057420285111895,0.09249750357683381,0.05272848994561645
ACAD8,0.0,0.004077336356234972,0.0,0.003422949039802199,0.0,0.0,0.0,0.0
ACADM,0.07904821187770829,0.07070040082842256,0.6856594658427532,0.21403469301266229,0.02390162691586018,0.006845472864429752,0.31739923463597947,0.01972148134752381
ACADVL,0.0,0.02038668178117486,0.6353012397738466,0.038944410163168755,0.5520017995653831,0.0,0.02467108743763332,0.0
ACAP1,0.01615606306864867,0.004077336356234972,0.033180730911630645,0.011560817844751159,0.0,0.006052960268143854,0.009966799165159189,0.0
ACAT1,0.3442743549356044,0.18633121353647897,0.7188401967543839,0.31172257801372477,0.4464752204380878,0.025472395092540095,0.2397890387113908,0.01100233619936421
ACAT2,0.7962455610525213,0.5371415640947849,0.13805036943266666,1.057226288396943,0.18129294386302694,0.24652568016244983,0.96202821139463,0.6179415844276355
ACBD3,0.0,0.02038668178117486,0.033180730911630645,0.0340701360248428,0.0,0.004433713257394216,0.0,0.0
ACIN1,0.31695925929228924,0.19371333290168577,0.09736102540792188,0.20005207454319077,0.02390162691586018,0.021328931189575157,0.2518728348167715,0.039442962695047615
ACLY,0.2736873804829485,0.13970855417183467,0.2535748995259909,0.1723442005728356,0.1952744993150326,0.015924913266645534,0.25024824122151107,0.014220313247841706
ACO1,0.03058002267176229,0.004077336356234972,0.0,0.010268847119406597,0.02390162691586018,0.0,0.009560650766344074,0.0
ACO2,0.5287201826502569,0.24649185278120705,0.7542020949929845,0.4986310416765571,0.6755714181328352,0.0849601406198016,0.44561619593915314,0.06923199424466277
ACOT1,0.01019334089058743,0.016309345424939888,0.025672117798516494,0.022249168758714293,0.16731138841102128,0.0,0.021511464224274163,0.0
