col,oRG,EN,IPC-EN,IN,RG,Microglia,Vascular,OPC
A2M,0.013911296884161362,0.009967898322527832,0.025026545602197397,0.00336246033535663,0.0650100998763745,0.8042240008759568,0.5804770937895457,0.0
A2ML1,0.01121637145547908,0.0002048307271158231,0.0,0.0,0.00219090377103104,0.0,0.0,0.0
AAMDC,0.32952180539155135,0.10100760702788467,0.29364632536106483,0.07354006526234841,0.35051886524076276,0.04099473448544236,0.1422054522054214,0.10176835104619325
AAMP,0.859956325542464,0.7685626532940935,0.8489519071305627,0.4760365272330789,0.6363561333970679,0.31469359009228726,0.38218914964699097,0.4233521650043498
AASDHPPT,0.7287842151104734,1.1175581253775864,0.9113616407268134,0.5218298889857289,0.5265101575330634,0.24211984150052754,0.24693729216261118,0.4638107582676899
ABAT,1.254982505684194,0.2895760498346035,0.6411441959151124,0.2042351113245024,0.8737775180957333,0.16955683675027508,0.10425624782272552,0.5872769523390984
ABCD3,0.9858373265978778,0.4314613045649092,0.5474333184008624,0.2161911878239392,0.7261280075547004,0.13763730785754538,0.18637325087364426,0.21774271915329516
ABCE1,0.4818424958705972,0.39392938986364634,0.43399663272399375,0.18147546383117133,0.33572414103278375,0.1202826659519009,0.11071218585874794,0.1407491724465254
ABCF1,0.39407297559571897,0.3597578195916847,0.47157091481322616,0.15787708067441997,0.35912130901252304,0.12445049563891956,0.16186309597407053,0.13165068343247685
ABCF3,0.384617302102998,0.3951778912635603,0.37034616916654595,0.26248769945390066,0.3002678361218019,0.10368196898056765,0.1093088997772338,0.22840276226580572
ABHD10,0.4279084249291765,0.438195855049056,0.456982124145327,0.2954994981507393,0.39033532455979686,0.10538731289604349,0.13940344230346102,0.20120411537987423
ABHD17C,0.4897740126824228,0.4562180470217454,0.4089429350561961,0.16394028568357066,0.4360543598217605,0.06211292131083613,0.061765590346925824,0.09068241440002324
ABI1,0.391738424658497,0.2965413228853297,0.3704246424384253,0.25336023934023555,0.28078768985748137,0.21445395744522838,0.17087091801182788,0.25387380447345986
ABI2,1.255946792702316,1.2149562209655236,1.1673860624242067,0.7543175205022217,0.9850599218112965,0.2910798671992143,0.4458808521743624,0.5337680583383522
ABLIM1,0.00448562548727485,0.05935078105070999,0.014146921977913608,0.010076467383777347,0.02266394526395095,0.00883615385982933,0.051523837610663745,0.0
ABRACL,0.1956569945096028,1.0595302988459447,0.6691045998964331,0.35251524650786137,0.19629308920127006,0.24847591395142235,0.11824141132769438,0.15382255672481684
ACAA1,0.3745507060993463,0.36868997117642754,0.37667041562976206,0.20803147535709252,0.26275304772462144,0.1540730955870634,0.14053287327406605,0.2049396792095749
ACAA2,0.677657333125461,0.32794895243769157,0.5942111016214728,0.07218924337321127,0.5275628773048087,0.1540039877058036,0.13172678825986386,0.12550026454590257
