Gene,GRAVY_Score
ESRRA,0.0543
SARM1,-0.1789
SEMA3F,-0.0688
NIPAL3,-0.0688
NDUFAF7,0.1095
M6PR,-0.1576
SLC7A2,0.5590
ARF5,-0.0688
POLDIP2,-0.5575
STPG1,-0.0688
CYP26B1,0.0300
DBNDD1,-0.9141
CFTR,0.2006
HS3ST1,0.2229
TMEM176A,0.3729
USP28,-0.5226
FUCA2,-0.0835
CYP51A1,-0.0688
FKBP4,-1.9091
UPP2,-0.0688
BCAP29,-0.4180
ZNF195,-0.2417
CCL18,-0.0688
DVL2,-0.6017
RALA,-0.0688
HOXA11,-0.7723
PDK4,-0.0688
HSPB6,-0.1832
SENP1,-0.0554
PRR5,-0.1749
CCL26,-0.1574
CX3CL1,-0.4596
PRSS21,-0.2922
CACNG3,-0.2219
BAIAP2L1,-0.0688
IFRD1,-0.2526
TMEM132A,-0.2118
USH1C,-0.4968
RPAP3,-0.0688
COPZ2,-0.0493
GGCT,-0.6806
OSBPL7,-0.6598
YBX2,-1.6975
DYRK4,-0.5175
PLEKHG6,-0.4547
KRT33A,-0.5832
MAPK8IP2,-0.6000
RHBDD2,-0.0688
PDK2,-0.4212
TSR3,-0.4269
CRY1,-0.8057
ITGA3,-0.0772
CPA1,-0.1293
STARD3NL,0.1581
RPUSD1,-0.4311
DLX6,-0.6176
SPRTN,-0.0688
CEACAM7,-0.1389
IL32,-0.5575
CD74,-0.5605
SPATA20,-0.4126
PGLYRP1,-0.2617
NDUFAB1,-0.0171
ALDH3B1,-0.0688
FAM76A,-0.8319
MGST1,0.0670
TFAP2D,-0.0688
CD9,0.3444
SS18L2,-0.0688
RPS20,-0.0688
CD4,0.2756
TRAF3IP3,-0.9487
TRAPPC6A,-0.4197
CAMK1G,-0.0688
KDM7A,-0.0688
RANBP9,-0.5040
LRRC23,-0.0688
CD79B,-0.0688
SYPL1,0.3683
ARHGAP33,-0.5502
FTSJ1,-0.0688
AKAP11,-0.5282
PSMA4,-0.2393
SYT13,-0.6595
RANBP3,-0.5039
COX15,-0.0688
CCT8L1P,-0.0688
LCP2,-0.9488
FAM136A,-0.0688
UBR7,-0.8057
TTC17,0.3056
RTN4R,-0.0688
RTFDC1,-0.0688
ERCC1,-0.2146
CYP4F2,0.1448
FAM65C,-0.3762
GABARAPL2,-0.2526
RGPD5,-0.0688
DNASE1L1,-0.0688
MYOC,-0.5187
GUCA1A,-0.2818
VDAC3,-0.2718
ZFHX4,-0.8812
XYLT2,-0.3804
HOXC8,-1.1153
CTNS,0.3650
RB1CC1,0.2111
MS4A12,0.1765
INMT,-0.0688
RALBP1,-1.5704
STRAP,-0.4223
TSPAN9,0.5441
BEST2,-0.3442
NSMAF,-1.0370
MAP4K5,-0.0204
VPS13D,-0.5031
MRPS10,-0.3662
FAM65A,-0.2084
LRRC7,0.2542
HEBP1,-0.4271
DCN,-0.2371
BCLAF1,-1.1661
CDH17,-0.2340
PIGQ,-0.0957
QPCTL,-0.1124
GPRC5A,0.7325
SNAI2,-0.5731
GABRA1,-0.3463
PPP5C,-0.5572
FAM13B,-0.3852
GOPC,-0.5494
PSD,-0.0688
OTC,-0.0688
SCTR,-0.0688
SLC39A9,0.5246
BOD1L1,-0.0688
TNFRSF17,-0.0750
SLC7A9,-0.0688
HIVEP2,-0.0688
NME1,0.0237
CHPF2,-0.3094
ABHD5,-0.0717
SLC45A4,0.0105
TARBP1,-0.0688
RNASET2,-0.5591
PLEKHO1,-0.9676
SPATA7,-0.3238
B4GALT7,-0.3929
MRI1,-0.0688
ZPBP,-0.0688
FAM168A,-0.4938
TRIP13,-0.2129
AQR,0.0822
TRPM5,-0.1104
BTN3A1,0.4087
EPN1,-0.5983
NEB,-0.8276
PKP2,-0.0688
KRT14,-0.0688
KIAA2022,-1.2026
FAM135B,-0.3515
PDCD2,0.4933
YIPF1,0.2109
DERL2,0.5420
FGF22,-0.4145
GPATCH1,-0.0688
P4HA2,-0.0688
KLK14,-0.1813
EPHA8,-0.2220
C17orf85,-1.4938
P2RY10,-0.0688
KLK13,-0.3321
STYK1,-0.0232
CDC27,0.3568
FSTL3,-0.5939
RELT,-0.1277
METTL22,0.1695
RCN1,-0.6393
MKRN2,-0.5742
DNAH2,-0.4842
APPBP2,0.0621
BCL3,-0.1782
NMRK2,-0.2098
ISOC2,0.2551
FAM50A,-0.0688
CAMSAP3,-0.0688
KEAP1,-0.1565
KCNAB2,-0.2752
HDAC7,-0.3889
THAP3,-0.8605
CECR5,-0.0688
RGS11,-0.0688
PDZD4,-0.8859
REXO1,-0.5525
NTN1,-0.6216
ACAP1,-0.6069
PPP1R3F,-0.7131
ISOC1,0.3133
PRSS22,0.0122
PIGV,0.2324
FGF4,-0.0688
ARHGEF10L,-0.0688
TIMM21,-0.3227
ACTL6B,-0.0688
KDM4B,-0.6013
CEACAM1,-0.1915
ZFY,-0.0688
RPL18,-0.6214
NFE2L3,-0.9687
ICAM3,-0.1419
CREB3L3,-0.4039
LMCD1,-0.6413
HSD17B10,-0.0688
VAMP3,-0.0688
TRIB2,-0.0688
PSMC4,-0.0688
TMEM161A,0.7700
IL4R,0.2202
CAMKK1,-0.0688
ST6GAL1,-0.0688
PYGM,-0.0688
FOXJ2,-0.0688
CBLN4,0.1393
TNFRSF1A,0.2139
PANX2,0.7935
PRLH,-0.2069
BCAR1,-0.6474
PPP2R5B,-0.5119
MRPS35,0.2421
CACNG5,0.2069
INPP4A,-0.3319
FNDC8,-0.3281
TNS1,-0.0688
RFC2,-0.2345
NPIPB4,-0.2630
REEP1,-0.0210
GSC2,-0.4234
MBD3,-0.7047
ARHGEF5,-0.7221
DTX2P1,-0.0688
LLGL2,-0.2771
KLF6,-0.6000
KRT20,-0.0688
MNT,-0.7212
RDH8,0.1462
NGFR,-0.4285
SLC2A3,0.8901
SIKE1,-0.6536
BPIFB2,0.4716
GOLGA5,-0.0688
NNAT,0.2167
CELSR3,-0.2708
NOX3,0.0886
ENPP2,-0.4282
RAPGEF3,-0.0863
YTHDC2,-0.3424
GRN,0.0441
IL1RAP,-0.0688
MEF2B,-0.5753
CIC,-0.7843
ST6GALNAC1,0.1984
CTDP1,-0.4718
UTS2,-0.3381
ANO8,0.0182
CD22,0.1289
SPP2,-0.0688
CLDN11,-0.0688
TRO,-0.0688
VASH1,-0.1231
TNIP3,-0.4860
ADCK2,-0.0688
OTUD5,-0.0688
GNA11,-0.1162
PIGB,0.6636
KIF22,-0.3476
CTTNBP2,-0.0688
GPKOW,-0.6855
MASP1,-0.0688
CA11,-0.4170
TLL1,-0.4556
KCNQ1,0.7544
HSPB11,-0.0688
PSMD8,-0.2080
SLC25A1,-0.0688
CDC34,-0.2762
PLOD1,-0.2227
PTPN18,-0.6354
NAT14,-0.0688
CHRD,-0.2205
MAP2K5,-0.0688
VARS,0.3979
SIGLEC1,-0.0175
XYLB,-0.1148
RBM22,-0.7453
PPP1R13B,-0.1981
ASAH2B,-0.0688
MICALL1,-0.7504
TDRD3,-0.9108
GADD45B,-0.0688
MRPS34,-0.0688
PDXP,0.0291
MORC2,-0.0688
MT3,-0.4337
C19orf26,-0.5863
LGALS2,-0.4133
DNAL4,-0.0688
TGFBR3,0.5592
DLG3,-0.7525
ZW10,-0.2674
G2E3,-0.6351
TRIP6,-0.0688
TMEM14A,0.8768
THAP7,-0.0688
PPP1R15A,-1.0179
TBX15,-0.6179
DLL3,-0.0364
DIMT1,-0.0357
PATZ1,-0.0688
ARPP21,-0.2950
TEKT2,-0.9158
SRRD,-0.0688
LAMB4,-0.0688
OCEL1,-0.8041
GLG1,-0.5148
SLC22A4,-0.0688
MCM5,-0.2127
GSTA3,-0.0185
CHERP,-0.0688
AMELY,-0.4380
HMGXB4,-0.0688
CD209,-0.5256
HBQ1,0.1232
MAPK12,-0.0688
PCDH11Y,-0.2516
CBX6,-0.0688
HAUS4,-0.2725
KRT23,-0.8201
NDUFB7,-0.7257
ZNF416,-0.5958
LMF2,-0.0688
NFKB2,-0.5091
ZNF184,-1.0553
GSTT2,-0.0952
NR1H4,-0.1879
OSTM1,-0.0688
FAP,-0.6674
COBLL1,-0.3611
CPB2,-0.2047
RASD2,-0.4071
MARCH2,0.0425
STXBP5,-0.3731
CEACAM21,-0.3958
SULT2B1,-0.0688
PIK3IP1,0.0016
CRYBG3,-0.3237
ZNF324,-0.6818
CLIC5,-0.4610
PCDHB2,-0.0584
CPNE3,-0.2366
TMED1,-0.1951
DMC1,-0.0688
AP3M2,0.1073
GNPTG,-0.0688
SEC14L3,-0.1783
C4orf6,-0.2775
OSBPL6,-0.0688
RAB26,-0.3193
RBM41,-0.0688
FAR2,0.2582
ALPK1,-0.0601
TRPV1,-0.1513
AAAS,-0.0536
PDRG1,-0.6421
TGM1,-0.7000
NHP2L1,-0.0688
SLC13A1,0.0534
ADH1A,-0.0688
USP18,-0.2884
TOMM22,-0.0688
HAUS5,-0.3077
