gene_id,colors
GATD3;GATD3B,tan
UBA6,blue
FBLL1,greenyellow
NCBP2L,greenyellow
A2ML1,greenyellow
SNRPG;SNRPGP15,blue
EIF3C;EIF3CL,black
NACA,black
ACOT7,blue
PSMD11,blue
PGRMC1,yellow
CLIC1,black
EIF3F,yellow
QSOX1,tan
IPO5,black
SAP18,tan
NDUFA4,yellow
DDX3X,black
NFIB,yellow
PDXK,tan
DPYSL4,yellow
COPE,tan
IMPA2,greenyellow
PRMT5,greenyellow
PSMA7,yellow
MYL12A;MYL12B,black
HNRNPDL,greenyellow
XPO1,black
SPTBN2,greenyellow
DCLK1,blue
ARPC2,blue
ARPC3,blue
HMGB3,blue
PPM1G,yellow
EIF3D,tan
YKT6,greenyellow
ARPC5,yellow
PER1,greenyellow
FABP7,blue
DHX15,black
PHGDH,magenta
DYNC1LI2,yellow
MSI1,black
HNRNPR,greenyellow
TXNL1,yellow
TPD52L2,tan
TGM5,greenyellow
DCX,blue
CHMP2A,tan
ZNF207,blue
GET3,black
BUB3,yellow
ACTN4,black
NARS1,black
LANCL1,yellow
CALU,black
AHCYL1,tan
SMARCA5,black
URB1,greenyellow
PPL,greenyellow
SYNCRIP,black
UGDH,black
CTNND1,black
USO1,blue
H2BC10;H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC5;H2BC9,tan
EDF1,black
CTSV,greenyellow
WDR1,yellow
CPNE3,black
HIP1R,greenyellow
GGCT,black
NIPSNAP2,black
PDCD6,blue
ALOX12B,greenyellow
TBCA,yellow
MACROH2A1,greenyellow
SH3BGRL,magenta
FLNB,tan
VPS26A,black
PSIP1,black
ERLIN1,tan
NDUFS3,blue
HSBP1,tan
BANF1,yellow
SF3B1,yellow
PRKRA,blue
LYPLA1,greenyellow
CREG1,greenyellow
SERPINB7,tan
SNRNP200,yellow
CBR3,tan
IDH1,yellow
RBBP9,tan
DYSF,greenyellow
ATP5PD,yellow
ATP5MG,black
SCGN,blue
SRP72,tan
DDAH1,black
UFL1,greenyellow
PLPBP,tan
DUSP14,greenyellow
LYPD3,greenyellow
PGLS,yellow
IPO7,black
PGM3,tan
HSPA4L,tan
PTBP3,greenyellow
LSM8,magenta
DDAH2,blue
SCGB1D2,greenyellow
LDHA,magenta
GLUD1,black
CYB5R3,black
SOD1,blue
PNP,greenyellow
GOT2,blue
PGK1,greenyellow
AK1,blue
HP,greenyellow
ADA,greenyellow
CA2,greenyellow
SERPINA1,greenyellow
CST1,tan
CSTA,greenyellow
PIGR,greenyellow
IGKC,greenyellow
IGHG1,tan
IGHA1,tan
COL1A1,greenyellow
LMNA,tan
APOA1,greenyellow
FGB,greenyellow
ALB,magenta
TF,greenyellow
LTF,greenyellow
CAT,tan
GBA,greenyellow
ALDOA,black
CSTB,black
ANXA1,tan
S100B,greenyellow
TUBB4A,blue
GAPDH,magenta
CAPNS1,tan
HSPB1,black
RPN1,black
RPN2,blue
ARG1,tan
APOD,greenyellow
ALDH2,blue
S100A8,black
HMGN1,tan
SLC25A5,tan
EIF2S1,yellow
RPLP1,tan
RPLP2,magenta
RPLP0,black
SSB,black
GSN,black
PTMA,greenyellow
CDK1,black
ATP5F1B,magenta
S100A9,greenyellow
EIF4E,yellow
ENO1,magenta
PYGL,greenyellow
GPI,yellow
NPM1,greenyellow
TPM3,yellow
HEXA,tan
H2BC11;H2BC17;H2BC21;H2BC3,tan
DBI,magenta
LDHB,magenta
GPX1,blue
P4HB,black
H1-0,blue
CTSD,black
ANXA2,tan
CAPN1,tan
TUBB,greenyellow
IVL,greenyellow
PSAP,tan
HEXB,black
PFN1,magenta
EPRS1,tan
CTSB,tan
HSP90AA1,greenyellow
HNRNPC,blue
FH,black
ANXA6,black
RHOA;RHOC,black
HSP90AB1,greenyellow
SNRNP70,yellow
VIM,magenta
GNAI3,tan
ANXA5,magenta
STS,greenyellow
RPSA,magenta
SNRPA,yellow
ENO2,yellow
GSTP1,magenta
LGALS1,black
QDPR,blue
HMGB1,yellow
RBP1,blue
GNAO1,blue
TPM1,tan
CLTA,yellow
CLTB,tan
CNP,tan
HMOX1,greenyellow
DLD,tan
HNRNPA1,blue
SNRPA1,yellow
COX6C,yellow
PARP1,magenta
UCHL1,blue
LTA4H,greenyellow
ALDOC,tan
H2AZ1;H2AZ2,blue
TMSB15A;TMSB15B,yellow
HSPA1A;HSPA1B,black
CALM1;CALM2;CALM3,magenta
DLAT,greenyellow
NR2F1,greenyellow
TXN,greenyellow
ESD,blue
HSPD1,magenta
CLU,greenyellow
HSPA5,magenta
MAP2,blue
HSPA8,magenta
PDHB,black
PYGB,yellow
RALB,tan
LAMP1,tan
ACADM,black
TOP1,yellow
TOP2A,black
MTHFD1,black
ADH5,yellow
PABPC1,black
PCNA,magenta
HARS1,blue
IMPDH2,black
TPR,black
PIP,greenyellow
CKB,greenyellow
ACTN1,tan
PEPD,tan
XRCC6,greenyellow
XRCC5,greenyellow
RNH1,black
EEF2,magenta
PDIA4,black
LCP1,greenyellow
PLS3,greenyellow
APEH,tan
ETFA,black
GFAP,black
MIF,greenyellow
PRKCSH,black
FDPS,black
COX7A2,yellow
AKR1A1,yellow
PKM,magenta
HSP90B1,magenta
IDE,greenyellow
HNRNPL,greenyellow
DARS1,black
JUP,tan
UQCRB,tan
AKR1B1,yellow
GSPT1,black
EZR,magenta
NME1,magenta
CD1D,magenta
RPS2,black
DSP,blue
RPA2,black
COX7C,yellow
CBR1,blue
H1-5,tan
ATP2A2,yellow
STMN1,blue
GOT1,blue
CAPN2,greenyellow
DDX5,yellow
PFKL,yellow
GM2A,greenyellow
LGALS3,black
PSMC3,greenyellow
TCP1,black
RPL35A,black
ARF4,greenyellow
RPL7,magenta
VCL,tan
IL1RN,greenyellow
RPL17,black
PGAM1,yellow
RCC1,black
NCL,greenyellow
HK1,yellow
SRM,blue
TYMP,tan
ANXA7,tan
BTF3,greenyellow
RAB5A,blue
PSMB1,yellow
COX5A,yellow
LMNB1,greenyellow
FLG,greenyellow
PTMS,blue
GSTM3,blue
ATP6V1B2,greenyellow
FLNA,black
VDAC1,magenta
PCMT1,yellow
FBL,greenyellow
GART,black
PAICS,black
UBA1,yellow
HNRNPA2B1,blue
CALB2,blue
UQCRC2,blue
TGM1,greenyellow
SFPQ,blue
PPIB,black
ME2,greenyellow
RPS3,magenta
GCSH,black
PTPRZ1,greenyellow
AHCY,black
CFL1,greenyellow
RRM1,black
EEF1B2,black
ATP5PB,tan
ACAT1,yellow
MCM3,black
AZGP1,greenyellow
RPS12,black
ATP5F1A,magenta
PSMA1,yellow
PSMA2,blue
PSMA3,yellow
PSMA4,yellow
MSN,black
DDX6,yellow
U2AF2,magenta
RPL13,black
HMGB2,magenta
PTBP1,magenta
TARS1,tan
VARS1,blue
EEF1G,black
FKBP2,blue
YWHAQ,greenyellow
CALML3,greenyellow
RPL10,tan
RPA1,black
APEX1,greenyellow
CALR,black
MAP4,black
CANX,black
PSMA5,yellow
PSMB4,yellow
PSMB6,yellow
PSMB5,tan
GSTM2,black
ABCD3,greenyellow
NDUFS1,blue
MAPK1,black
LAP3,blue
S100A2,greenyellow
IMPA1,tan
TKT,greenyellow
SERPINB3,greenyellow
EEF1D,black
MARCKS,black
ERP29,black
PRDX6,greenyellow
PRDX5,yellow
PRDX3,black
ATP5F1D,yellow
RPL12,black
CMPK1,tan
PEBP1,greenyellow
PDIA3,magenta
PPP2R1A,yellow
SRI,magenta
CORO1A,greenyellow
GDI1,yellow
S100A7,greenyellow
MAT2A,black
RRM2,black
