Gene name	Mouse gene name	Mouse homology type	dN with Mouse	dS with Mouse	Mouse orthology confidence [0 low, 1 high]
MT-TF					
MT-RNR1					
MT-TV					
MT-RNR2					
MT-TL1					
MT-ND1	mt-Nd1	ortholog_one2one			1
MT-TI					
MT-TQ					
MT-TM					
MT-ND2	mt-Nd2	ortholog_one2one			1
MT-TW					
MT-TA					
MT-TN					
MT-TC					
MT-TY					
MT-CO1	mt-Co1	ortholog_one2one			1
MT-TS1					
MT-TD					
MT-CO2	mt-Co2	ortholog_one2one			1
MT-TK					
MT-ATP8	mt-Atp8	ortholog_one2one	0.4871	0.848	0
MT-ATP6	mt-Atp6	ortholog_one2one			1
MT-CO3	mt-Co3	ortholog_one2one			1
MT-TG					
MT-ND3	mt-Nd3	ortholog_one2one			1
MT-TR					
MT-ND4L	mt-Nd4l	ortholog_one2one	0.2122	76.2474	1
MT-ND4	mt-Nd4	ortholog_one2one			1
MT-TH					
MT-TS2					
MT-TL2					
MT-ND5	mt-Nd5	ortholog_one2one			1
MT-ND6	mt-Nd6	ortholog_one2one	0.3483	13.3201	1
MT-TE					
MT-CYB	mt-Cytb	ortholog_one2one			1
MT-TT					
MT-TP					
MIR3170					
AC006011.1					
AC012314.16					
MIR4536-2					
MIR323B					
AL160313.1					
RNA5SP520					
RNU2-53P					
MIR5701-2					
MIR4312					
AC008427.1					
RNY1P3					
ABBA01010928.1					
MIR6504					
AC093024.1					
RNU6-721P					
MIR6165					
AC080098.1					
RN7SL565P					
MIR657					
RNU6-1213P					
MIR150	Mir150	ortholog_one2one			1
RN7SL767P					
MIR8074					
ST13P19					
AC141272.1					
MIR8485					
RNU6-2					
MIR548F2					
ABBA01031658.1					
AL713888.1					
MIR941-5					
MIR6821					
AC007325.4	Dgcr6	ortholog_one2many	0.0393	1.6225	1
RNU6-529P					
RNU6-903P					
MIR7976					
MIR4452					
RNA5SP137					
RNU7-40P					
MIR8066					
AC005537.1					
MIR9-2	Mir9-2	ortholog_one2one			1
MIR3914-2					
RN7SL134P					
CR847794.2					
MIR2861					
MIR3689D1					
AL079341.1					
RNU2-41P					
AL714019.1					
AL391987.2					
RNU6-1028P					
AC231273.1					
RNU4-25P					
AC090958.4					
AC008752.1	Gm25456	ortholog_many2many			0
AC008752.1	Gm22334	ortholog_many2many			0
AC008752.1	Gm25979	ortholog_many2many			0
AC008752.1	Gm23995	ortholog_many2many			0
AC008752.1	Gm22362	ortholog_many2many			0
AC008752.1	Gm22603	ortholog_many2many			0
AC008752.1	Gm22163	ortholog_many2many			0
AC008752.1	Gm22422	ortholog_many2many			0
AC008752.1	Gm26368	ortholog_many2many			0
AC008752.1	Gm23902	ortholog_many2many			0
AC008752.1	Gm24992	ortholog_many2many			0
AC008752.1	Gm26169	ortholog_many2many			0
AC008752.1	Gm23699	ortholog_many2many			0
AC008752.1	Gm25999	ortholog_many2many			0
AC008752.1	Gm22857	ortholog_many2many			0
AC008752.1	Gm25862	ortholog_many2many			0
AC008752.1	Gm25391	ortholog_many2many			0
AC008752.1	Gm25921	ortholog_many2many			0
AC008752.1	Gm22915	ortholog_many2many			0
AC008752.1	Gm23996	ortholog_many2many			0
AC010853.1					
MIR3675					
SNORD117					
RN7SL704P					
MIR6878					
AC062037.1					
MIRLET7A2					
AL121839.4					
MIR614					
AC020663.4					
AC002064.1					
MIR6502					
AL662859.1					
MIR8067					
Z73420.1					
AC093608.1					
MIR422A					
AC027237.1					
MIR1269B					
RNA5SP451					
TSEN34					
MIR4522					
MED22					
BX276089.1					
MIR5684					
RNU6-565P					
AC026318.1					
MIR4786					
RN7SKP134					
MIR103B2					
SNORD77B					
MIR647					
SNORA74D	Mir1949	ortholog_one2one			1
AC061965.1					
MIR4279					
AL109920.1					
NCR1					
MIR3141					
RNU6-284P					
AC013471.1					
MIR1236					
MIR4426					
AC002461.1					
MIR6124					
MIR588					
MIR1260B					
RNU6-1218P					
MIR3943					
MIR3920					
MIR335	Mir335	ortholog_one2one			1
MIR4495					
SNORA4	Gm24616	ortholog_one2one			1
RNU4-74P					
MIR8079					
MIR6847					
AC091825.1					
MIR7703					
MIR4477A					
RN7SKP43					
MIR3713					
MIR3074					
AC025750.4					
MIR6768					
AL355132.1					
MIR8081					
MIR3179-2					
RNU6-717P	Gm22294	ortholog_one2one			0
MIR602					
MIR27A	Mir27a	ortholog_one2one			1
AC119038.1					
AC008847.1					
MIR500A					
MIR4261					
MIR1468					
RNU4ATAC15P					
RNU6-166P	Gm25482	ortholog_one2one			0
MIR4772					
MIR514A2					
RNA5SP290					
MIR9500					
RNU6-22P	Gm24097	ortholog_one2many			0
RNU1-47P					
MIR548X					
AL049745.1	Gm50450	ortholog_many2many			1
AL049745.1	Gm24608	ortholog_many2many			0
MIR4790					
RNU6-919P					
