Gene,Theoretical Peptide Count
ESRRA,88
SARM1,1
SEMA3F,170
NIPAL3,39
NDUFAF7,99
M6PR,53
SLC7A2,101
ARF5,39
POLDIP2,1
STPG1,61
CYP26B1,115
DBNDD1,19
CFTR,309
HS3ST1,71
TMEM176A,39
USP28,203
FUCA2,80
CYP51A1,103
FKBP4,115
UPP2,66
BCAP29,74
ZNF195,123
CCL18,21
DVL2,113
RALA,63
HOXA11,68
PDK4,81
HSPB6,24
SENP1,139
PRR5,77
CCL26,27
CX3CL1,60
PRSS21,43
CACNG3,75
BAIAP2L1,121
IFRD1,115
TMEM132A,170
USH1C,213
RPAP3,184
COPZ2,40
GGCT,27
OSBPL7,189
YBX2,72
DYRK4,125
PLEKHG6,176
KRT33A,80
MAPK8IP2,85
RHBDD2,51
PDK2,63
TSR3,72
CRY1,124
ITGA3,174
CPA1,68
STARD3NL,37
RPUSD1,59
DLX6,42
SPRTN,48
CEACAM7,31
IL32,41
CD74,55
SPATA20,162
PGLYRP1,33
NDUFAB1,31
ALDH3B1,85
FAM76A,99
MGST1,36
TFAP2D,86
CD9,43
SS18L2,17
RPS20,47
CD4,114
TRAF3IP3,147
TRAPPC6A,31
CAMK1G,91
KDM7A,174
RANBP9,108
LRRC23,75
CD79B,51
SYPL1,35
ARHGAP33,218
FTSJ1,54
AKAP11,355
PSMA4,69
SYT13,85
RANBP3,95
COX15,77
CCT8L1P,1
LCP2,106
FAM136A,38
UBR7,89
TTC17,219
RTN4R,85
RTFDC1,98
ERCC1,75
CYP4F2,37
FAM65C,217
GABARAPL2,35
RGPD5,410
DNASE1L1,51
MYOC,104
GUCA1A,39
VDAC3,61
ZFHX4,613
XYLT2,170
HOXC8,59
CTNS,44
RB1CC1,376
MS4A12,19
INMT,49
RALBP1,175
STRAP,63
TSPAN9,38
BEST2,87
NSMAF,168
MAP4K5,174
VPS13D,601
MRPS10,51
FAM65A,191
LRRC7,305
HEBP1,47
DCN,77
BCLAF1,50
CDH17,127
PIGQ,107
QPCTL,77
GPRC5A,56
SNAI2,59
GABRA1,99
PPP5C,112
FAM13B,191
GOPC,107
PSD,198
OTC,76
SCTR,69
SLC39A9,27
BOD1L1,667
TNFRSF17,31
SLC7A9,52
HIVEP2,438
NME1,31
CHPF2,155
ABHD5,7
SLC45A4,124
TARBP1,293
RNASET2,19
PLEKHO1,109
SPATA7,124
B4GALT7,75
MRI1,67
ZPBP,85
FAM168A,17
TRIP13,88
AQR,282
TRPM5,234
BTN3A1,1
EPN1,80
NEB,1563
PKP2,190
KRT14,104
KIAA2022,324
FAM135B,29
PDCD2,37
YIPF1,44
DERL2,31
FGF22,40
GPATCH1,234
P4HA2,120
KLK14,49
EPHA8,198
C17orf85,111
P2RY10,62
KLK13,15
STYK1,82
CDC27,163
FSTL3,40
RELT,76
METTL22,33
RCN1,90
MKRN2,91
DNAH2,181
APPBP2,126
BCL3,69
NMRK2,42
ISOC2,35
FAM50A,89
CAMSAP3,245
KEAP1,107
KCNAB2,80
HDAC7,162
THAP3,69
CECR5,66
RGS11,17
PDZD4,194
REXO1,276
NTN1,155
ACAP1,164
PPP1R3F,100
ISOC1,53
PRSS22,45
PIGV,55
FGF4,47
ARHGEF10L,165
TIMM21,79
ACTL6B,75
KDM4B,209
CEACAM1,63
ZFY,158
RPL18,85
NFE2L3,111
ICAM3,85
CREB3L3,69
LMCD1,95
HSD17B10,44
VAMP3,26
TRIB2,74
PSMC4,89
TMEM161A,74
IL4R,106
CAMKK1,102
ST6GAL1,94
PYGM,201
FOXJ2,69
CBLN4,37
TNFRSF1A,81
PANX2,137
PRLH,24
BCAR1,135
PPP2R5B,109
MRPS35,87
CACNG5,39
INPP4A,201
FNDC8,51
TNS1,273
RFC2,77
NPIPB4,1
REEP1,49
GSC2,57
MBD3,72
ARHGEF5,283
DTX2P1,1
LLGL2,192
KLF6,1
KRT20,107
MNT,87
RDH8,48
NGFR,55
SLC2A3,68
SIKE1,50
BPIFB2,61
GOLGA5,174
NNAT,21
CELSR3,531
NOX3,94
ENPP2,174
RAPGEF3,188
YTHDC2,321
GRN,94
IL1RAP,130
MEF2B,67
CIC,217
ST6GALNAC1,158
CTDP1,181
UTS2,31
ANO8,232
CD22,145
SPP2,51
CLDN11,23
TRO,174
VASH1,105
TNIP3,111
ADCK2,121
OTUD5,93
GNA11,91
PIGB,97
KIF22,169
CTTNBP2,325
GPKOW,111
MASP1,64
CA11,57
TLL1,208
KCNQ1,142
HSPB11,23
PSMD8,90
SLC25A1,81
CDC34,46
PLOD1,156
PTPN18,93
NAT14,45
CHRD,170
MAP2K5,78
VARS,256
SIGLEC1,223
XYLB,82
RBM22,100
PPP1R13B,185
ASAH2B,29
MICALL1,173
TDRD3,166
GADD45B,19
MRPS34,69
PDXP,64
MORC2,273
MT3,17
C19orf26,88
LGALS2,27
DNAL4,26
TGFBR3,120
DLG3,176
ZW10,169
G2E3,146
TRIP6,83
TMEM14A,24
THAP7,81
PPP1R15A,130
TBX15,74
DLL3,95
DIMT1,84
PATZ1,96
ARPP21,140
TEKT2,116
SRRD,67
LAMB4,303
OCEL1,71
GLG1,311
SLC22A4,84
MCM5,191
GSTA3,64
CHERP,171
AMELY,11
HMGXB4,139
CD209,62
HBQ1,25
MAPK12,91
PCDH11Y,180
CBX6,94
HAUS4,94
KRT23,104
NDUFB7,49
ZNF416,116
LMF2,104
NFKB2,161
ZNF184,163
GSTT2,50
NR1H4,103
OSTM1,49
FAP,138
COBLL1,236
CPB2,77
RASD2,73
MARCH2,46
STXBP5,144
CEACAM21,41
SULT2B1,70
PIK3IP1,41
CRYBG3,199
ZNF324,126
CLIC5,79
PCDHB2,121
CPNE3,100
TMED1,36
DMC1,78
AP3M2,80
GNPTG,63
SEC14L3,96
C4orf6,22
OSBPL6,205
RAB26,66
RBM41,92
FAR2,112
ALPK1,236
TRPV1,168
AAAS,83
PDRG1,46
TGM1,140
NHP2L1,30
SLC13A1,79
ADH1A,75
USP18,80
TOMM22,21
HAUS5,143
C20orf112,34
MRPL28,76
DDTL,21
ASNS,121
PSMD5,97
UHRF1BP1,247
RPS5,60
DDX17,1
BIK,19
PLEKHG2,184
DMRT3,88
ACTN1,189
VCL,266
CCDC80,247
APOH,67
TRAM2,73
EFNA2,31
HSD17B2,71
CENPM,31
IGFALS,104
TPSD1,23
FGF22,52
PSME1,73
OSGEP,61
TBX21,76
C12orf5,63
CETP,72
MMP11,89
CEBPE,67
CEACAM6,35
TFAP2C,78
PVR,3
SEMA4G,161
BAG6,127
TMEM38A,46
ESF1,242
JOSD1,49
BCL7C,54
PSG6,73
LAMP2,53
OTUB2,55
ASPHD2,63
TBC1D10A,121
GPANK1,83
STRADB,62
KDELR3,40
LTBP4,242
C19orf77,36
XBP1,56
SF3A1,157
HMOX1,67
DNMT3B,191
EIF2AK1,132
CMTM6,28
MAP2,145
KLHL20,117
TRMT6,116
MTMR7,145
ADAM7,152
MUSK,158
PTHLH,50
ESR1,110
IMPG2,175
SPG21,57
AQP2,33
ERMP1,1
DRD4,67
GOLGA3,350
ATP5D,23
EPS8L1,152
PLA2G3,111
CTSA,76
CMA1,31
TFAP4,78
ADH7,82
DHPS,65
CBX5,65
CACNB4,125
SIRT1,127
ARSA,57
TMEM101,40
ITGB4,328
MYO15A,696
PRRT1,23
RASL10A,52
RRN3,125
RPGRIP1,272
MZF1,156
MISP,145
MAPK13,89
SIRT4,72
SCT,20
CCL7,36
UQCRC1,90
CBY1,35
REM1,73
ACTR6,73
ABCC6,253
RPL6,111
KIAA0141,101
ERLEC1,104
MAPK1,81
OSM,72
RNF215,65
RTCB,108
TSPAN32,59
NANS,81
CA12,54
MOK,13
ANKRD54,63
HEATR6,193
LAPTM4A,33
UNC13D,203
NIPSNAP1,72
HSCB,71
EPB41L1,200
PTBP3,34
SNAP91,91
EFNB1,71
SPAG7,70
RALGAPA2,336
OXCT1,114
RHBDD3,31
SLC25A3,78
RGS17,47
SEMA5B,185
TECR,67
PPP6R2,158
SERPIND1,109
TMEM131,321
EPDR1,42
POLR2E,52
ALDH3A2,102
WISP2,47
PDCD7,121
CRYBB1,52
ADAM11,136
FLT3LG,26
PCDHB4,132
CATSPERG,90
VNN3,85
MIF,15
COMT,31
FGF20,45
MLF2,56
THPO,54
SUN2,146
CDK13,345
TGM6,157
ZNF8,123
LAG3,77
NDUFB2,13
ZNF222,131
FAM107B,86
GAL3ST2,92
CDC6,161
RTDR1,66
MIOX,50
STX1B,85
CRYBB3,50
MOGAT2,60
FMO2,102
TIMM13,25
LGALS1,25
OR1I1,41
DLD,108
NAIP,272
MYL6B,51
TCN2,74
CLDN18,31
SNRPD3,40
LST1,5
C22orf31,90
TMEM230,27
GTPBP1,145
MICAL3,229
RPS18,64
KIAA1467,86
STK10,278
SLC22A17,64
ANKRD16,64
SLC8B1,70
PILRA,62
AASDH,198
SNAP29,73
OAS1,90
BAZ2A,351
APOBEC3D,96
GMIP,194
LZTR1,163
NME8,122
ROPN1,43
MADCAM1,47
NDUFB4,39
FAM135A,27
RNASEH2A,65
ACTA2,70
PPP1R37,130
AK1,62
BIRC7,56
SHPK,63
ICAM5,151
FSD1,120
GZMB,58
RIPK3,83
CHADL,152
POLD2,72
SUPT16H,264
OXT,19
PDYN,59
ECH1,71
ARHGEF7,145
COL1A1,236
FA2H,63
EMC9,31
SLC5A5,76
FOXN1,78
FCGBP,408
ARFRP1,29
EPX,189
FCGRT,59
POP4,35
STX1A,82
NDFIP2,50
CTSG,65
MEFV,177
ACR,67
FGF21,25
CAPS,47
NKG7,5
PLAT,112
CD38,68
CCL3,11
SIX4,103
ZNF510,180
MEIS2,41
CEP128,131
PLOD3,145
CENPI,140
C1QBP,55
UBOX5,82
CORO1A,101
COA1,37
OGDH,197
CDKN3,1
SLC25A11,69
VSIG1,42
APLP1,127
EBI3,37
SYNGR1,16
CCL13,32
UTP18,129
SPATA6L,1
TAX1BP3,30
CCDC130,104
