gene_id,Pheno,GeneEff,colors,scoreType,score,timeOrder
ATAD3A,Unaffected,missense,tan,REVEL,0.825,6
ATAD3A,Affected,missense,tan,REVEL,0.634,6
GNB1,Affected,missense,yellow,REVEL,0.447,4
GNB1,Affected,missense,yellow,REVEL,0.621,4
GNB1,Affected,missense,yellow,REVEL,0.187,4
LRRC47,Affected,missense,greenyellow,REVEL,0.062,2
ACOT7,Affected,missense,blue,REVEL,0.012,5
ACOT7,Affected,missense,blue,REVEL,0.021,5
ENO1,Affected,missense,magenta,REVEL,0.37,1
PIK3CD-AS1,Affected,missense,tan,REVEL,0.065,6
PIK3CD-AS1,Affected,missense,tan,REVEL,0.006,6
PGD,Unaffected,missense,yellow,REVEL,0.052,4
SRM,Unaffected,missense,blue,REVEL,0.822,5
CROCC,Affected,missense,black,REVEL,0.065,3
CROCC,Affected,missense,black,REVEL,0.029,3
CROCC,Unaffected,missense,black,REVEL,0.045,3
CROCC,Affected,missense,black,REVEL,0.068,3
RCC2,Affected,missense,black,REVEL,0.01,3
ALDH4A1,Affected,missense,tan,REVEL,0.122,6
AKR7A2,Affected,missense,tan,REVEL,0.01,6
CAPZB,Affected,missense,yellow,REVEL,0.253,4
CAPZB,Unaffected,missense,yellow,REVEL,0.101,4
CDC42,Affected,missense,yellow,REVEL,0.527,4
KDM1A,Affected,missense,greenyellow,REVEL,0.897,2
HNRNPR,Affected,missense,greenyellow,REVEL,0.269,2
HNRNPR,Affected,missense,greenyellow,REVEL,0.204,2
HNRNPR,Affected,missense,greenyellow,REVEL,0.218,2
HNRNPR,Affected,missense,greenyellow,REVEL,0.514,2
PITHD1,Affected,missense,greenyellow,REVEL,0.66,2
PITHD1,Affected,missense,greenyellow,REVEL,0.078,2
PITHD1,Unaffected,missense,greenyellow,REVEL,0.901,2
SH3BGRL3,Affected,missense,blue,REVEL,0.011,5
ARID1A,Affected,missense,greenyellow,REVEL,0.111,2
ARID1A,Affected,missense,greenyellow,REVEL,0.052,2
ARID1A,Affected,missense,greenyellow,REVEL,0.315,2
ARID1A,Affected,missense,greenyellow,REVEL,0.257,2
GPN2,Affected,missense,greenyellow,REVEL,0.354,2
GPN2,Affected,missense,greenyellow,REVEL,0.782,2
NUDC,Affected,missense,black,REVEL,0.256,3
RCC1,Unaffected,missense,black,REVEL,0.946,3
SRSF4,Unaffected,missense,greenyellow,REVEL,0.188,2
PUM1,Affected,missense,greenyellow,REVEL,0.456,2
PUM1,Affected,missense,greenyellow,REVEL,0.224,2
PUM1,Affected,missense,greenyellow,REVEL,0.25,2
PUM1,Unaffected,missense,greenyellow,REVEL,0.236,2
PUM1,Affected,missense,greenyellow,REVEL,0.032,2
KPNA6,Affected,missense,greenyellow,REVEL,0.889,2
HDAC1,Affected,missense,tan,REVEL,0.825,6
SFPQ,Affected,missense,blue,REVEL,0.525,5
SFPQ,Affected,missense,blue,REVEL,0.074,5
ZMYM4,Affected,missense,greenyellow,REVEL,0.094,2
ZMYM4,Affected,missense,greenyellow,REVEL,0.077,2
NCDN,Unaffected,missense,blue,REVEL,0.061,5
NCDN,Affected,missense,blue,REVEL,0.249,5
NCDN,Affected,missense,blue,REVEL,0.147,5
NCDN,Unaffected,missense,blue,REVEL,0.067,5
AGO1,Affected,missense,tan,REVEL,0.329,6
AGO1,Affected,missense,tan,REVEL,0.521,6
AGO1,Affected,missense,tan,REVEL,0.339,6
AGO1,Affected,missense,tan,REVEL,0.645,6
AGO1,Affected,missense,tan,REVEL,0.234,6
THRAP3,Affected,missense,tan,REVEL,0.091,6
THRAP3,Affected,missense,tan,REVEL,0.648,6
THRAP3,Affected,missense,tan,REVEL,0.05,6
MACF1,Unaffected,missense,blue,REVEL,0.514,5
MACF1,Unaffected,missense,blue,REVEL,0.15,5
MACF1,Affected,missense,blue,REVEL,0.049,5
MACF1,Affected,missense,blue,REVEL,0.292,5
MACF1,Affected,missense,blue,REVEL,0.176,5
CAP1,Affected,missense,black,REVEL,0.421,3
YBX1,Affected,missense,black,REVEL,0.147,3
AKR1A1,Unaffected,missense,yellow,REVEL,0.437,4
NASP,Affected,missense,magenta,REVEL,0.113,1
ELAVL4,Affected,missense,greenyellow,REVEL,0.33,2
ELAVL4,Unaffected,missense,greenyellow,REVEL,0.267,2
ELAVL4,Affected,missense,greenyellow,REVEL,0.269,2
OSBPL9,Affected,missense,greenyellow,REVEL,0.088,2
NFIA,Affected,missense,blue,REVEL,0.819,5
NFIA,Affected,missense,blue,REVEL,0.152,5
PGM1,Unaffected,missense,black,REVEL,0.242,3
SERBP1,Affected,missense,tan,REVEL,0.542,6
SERBP1,Affected,missense,tan,REVEL,0.116,6
LRRC40,Affected,missense,greenyellow,REVEL,0.113,2
SRSF11,Affected,missense,greenyellow,REVEL,0.148,2
SRSF11,Affected,missense,greenyellow,REVEL,0.275,2
CRYZ,Affected,missense,black,REVEL,0.049,3
ACADM,Affected,missense,black,REVEL,0.983,3
FUBP1,Affected,missense,greenyellow,REVEL,0.391,2
DDAH1,Affected,missense,black,REVEL,0.266,3
DDAH1,Affected,missense,black,REVEL,0.266,3
DDAH1,Affected,missense,black,REVEL,0.101,3
RPL5,Affected,missense,black,REVEL,0.476,3
DR1,Affected,missense,greenyellow,REVEL,0.093,2
FNBP1L,Affected,missense,greenyellow,REVEL,0.083,2
ABCD3,Affected,missense,greenyellow,REVEL,0.735,2
PTBP2,Affected,missense,blue,REVEL,0.368,5
AHCYL1,Affected,missense,tan,REVEL,0.194,6
TRIM33,Affected,missense,greenyellow,REVEL,0.215,2
CSDE1,Affected,missense,blue,REVEL,0.517,5
CSDE1,Unaffected,missense,blue,REVEL,0.133,5
RBM8A,Affected,missense,black,REVEL,0.166,3
ECM1,Affected,missense,greenyellow,REVEL,0.657,2
ECM1,Affected,missense,greenyellow,REVEL,0.324,2
ECM1,Unaffected,missense,greenyellow,REVEL,0.598,2
SELENBP1,Unaffected,missense,tan,REVEL,0.457,6
PSMB4,Affected,missense,yellow,REVEL,0.374,4
POGZ,Affected,missense,greenyellow,REVEL,0.395,2
POGZ,Affected,missense,greenyellow,REVEL,0.318,2
POGZ,Affected,missense,greenyellow,REVEL,0.206,2
POGZ,Unaffected,missense,greenyellow,REVEL,0.231,2
POGZ,Unaffected,missense,greenyellow,REVEL,0.205,2
POGZ,Affected,missense,greenyellow,REVEL,0.163,2
HRNR,Unaffected,missense,greenyellow,REVEL,0.02,2
FLG,Affected,missense,greenyellow,REVEL,0.049,2
FLG,Affected,missense,greenyellow,REVEL,0.021,2
FLG,Unaffected,missense,greenyellow,REVEL,0.042,2
FLG,Affected,missense,greenyellow,REVEL,0.041,2
FLG,Affected,missense,greenyellow,REVEL,0.002,2
FLG,Unaffected,missense,greenyellow,REVEL,0.055,2
FLG,Affected,missense,greenyellow,REVEL,0.064,2
FLG2,Affected,missense,black,REVEL,0.012,3
FLG2,Unaffected,missense,black,REVEL,0.131,3
FLG2,Affected,missense,black,REVEL,0.119,3
FLG2,Affected,missense,black,REVEL,0.004,3
FLG2,Affected,missense,black,REVEL,0.064,3
FLG2,Unaffected,missense,black,REVEL,0.072,3
KPRP,Affected,missense,greenyellow,REVEL,0.081,2
TPM3,Unaffected,missense,yellow,REVEL,0.597,4
UBAP2L,Unaffected,missense,greenyellow,REVEL,0.334,2
GBA,Unaffected,missense,greenyellow,REVEL,0.798,2
GBA,Affected,missense,greenyellow,REVEL,0.922,2
ARHGEF2,Affected,missense,greenyellow,REVEL,0.143,2
ARHGEF2,Affected,missense,greenyellow,REVEL,0.48,2
ARHGEF2,Affected,missense,greenyellow,REVEL,0.48,2
ARHGEF2,Affected,missense,greenyellow,REVEL,0.604,2
LMNA,Affected,missense,tan,REVEL,0.819,6
CCT3,Affected,missense,yellow,REVEL,0.527,4
BCAN,Affected,missense,tan,REVEL,0.565,6
BCAN,Affected,missense,tan,REVEL,0.543,6
NES,Affected,missense,magenta,REVEL,0.106,1
NES,Unaffected,missense,magenta,REVEL,0.178,1
CD1A,Affected,missense,greenyellow,REVEL,0.034,2
CD1A,Affected,missense,greenyellow,REVEL,0.077,2
TAGLN2,Affected,missense,black,REVEL,0.496,3
ATP1A2,Affected,missense,tan,REVEL,0.215,6
PEA15,Affected,missense,magenta,REVEL,0.243,1
COPA,Affected,missense,yellow,REVEL,0.098,4
HSPA6,Affected,missense,yellow,REVEL,0.027,4
PBX1,Affected,missense,greenyellow,REVEL,0.522,2
PBX1,Affected,missense,greenyellow,REVEL,0.392,2
PBX1,Affected,missense,greenyellow,REVEL,0.429,2
PBX1,Affected,missense,greenyellow,REVEL,0.634,2
ALDH9A1,Affected,missense,black,REVEL,0.931,3
CREG1,Affected,missense,greenyellow,REVEL,0.21,2
DHX9,Affected,missense,greenyellow,REVEL,0.053,2
DHX9,Affected,missense,greenyellow,REVEL,0.207,2
IVNS1ABP,Affected,missense,greenyellow,REVEL,0.302,2
TPR,Affected,missense,black,REVEL,0.222,3
TPR,Affected,missense,black,REVEL,0.046,3
TPR,Affected,missense,black,REVEL,0.064,3
PKP1,Affected,missense,greenyellow,REVEL,0.729,2
PKP1,Unaffected,missense,greenyellow,REVEL,0.135,2
IPO9,Affected,missense,yellow,REVEL,0.501,4
PIGR,Affected,missense,greenyellow,REVEL,0.041,2
PIGR,Affected,missense,greenyellow,REVEL,0.019,2
YOD1,Affected,missense,greenyellow,REVEL,0.182,2
YOD1,Affected,missense,greenyellow,REVEL,0.023,2
SLC30A1,Unaffected,missense,greenyellow,REVEL,0.098,2
BPNT1,Affected,missense,tan,REVEL,0.607,6
CAPN2,Unaffected,missense,greenyellow,REVEL,0.542,2
LBR,Affected,missense,blue,REVEL,0.426,5
LBR,Affected,missense,blue,REVEL,0.934,5
LBR,Affected,missense,blue,REVEL,0.365,5
PARP1,Unaffected,missense,magenta,REVEL,0.553,1
PARP1,Affected,missense,magenta,REVEL,0.02,1
CEP170,Affected,missense,blue,REVEL,0.729,5
ZBTB18,Affected,missense,blue,REVEL,0.573,5
HNRNPU,Affected,missense,greenyellow,REVEL,0.873,2
HNRNPU,Affected,missense,greenyellow,REVEL,0.873,2
HNRNPU,Affected,missense,greenyellow,REVEL,0.056,2
SCCPDH,Unaffected,missense,tan,REVEL,0.307,6
ACP1,Affected,missense,black,REVEL,0.05,3
CPSF3,Affected,missense,greenyellow,REVEL,0.356,2
CPSF3,Affected,missense,greenyellow,REVEL,0.103,2
CPSF3,Affected,missense,greenyellow,REVEL,0.07,2
RRM2,Affected,missense,black,REVEL,0.793,3
RRM2,Affected,missense,black,REVEL,0.793,3
PDIA6,Affected,missense,black,REVEL,0.523,3
DDX1,Unaffected,missense,blue,REVEL,0.18,5
DDX1,Affected,missense,blue,REVEL,0.416,5
APOB,Unaffected,missense,greenyellow,REVEL,0.069,2
APOB,Affected,missense,greenyellow,REVEL,0.112,2
APOB,Affected,missense,greenyellow,REVEL,0.091,2
APOB,Affected,missense,greenyellow,REVEL,0.307,2
APOB,Affected,missense,greenyellow,REVEL,0.016,2
APOB,Unaffected,missense,greenyellow,REVEL,0.201,2
APOB,Affected,missense,greenyellow,REVEL,0.163,2
APOB,Affected,missense,greenyellow,REVEL,0.08,2
APOB,Affected,missense,greenyellow,REVEL,0.058,2
HADHA,Affected,missense,black,REVEL,0.732,3
HADHB,Affected,missense,black,REVEL,0.369,3
HADHB,Affected,missense,black,REVEL,0.166,3
DPYSL5,Affected,missense,blue,REVEL,0.316,5
ZNF512,Unaffected,missense,blue,REVEL,0.113,5
XDH,Unaffected,missense,greenyellow,REVEL,0.739,2
XDH,Affected,missense,greenyellow,REVEL,0.1,2
XDH,Affected,missense,greenyellow,REVEL,0.351,2
XDH,Unaffected,missense,greenyellow,REVEL,0.152,2
HNRNPLL,Affected,missense,black,REVEL,0.275,3
HNRNPLL,Unaffected,missense,black,REVEL,0.121,3
SRSF7,Affected,missense,greenyellow,REVEL,0.654,2
EML4,Unaffected,missense,tan,REVEL,0.122,6
LRPPRC,Affected,missense,tan,REVEL,0.091,6
LRPPRC,Unaffected,missense,tan,REVEL,0.201,6
MSH2,Affected,missense,black,REVEL,0.781,3
MSH6,Affected,missense,black,REVEL,0.952,3
MSH6,Affected,missense,black,REVEL,0.2,3
MSH6,Affected,missense,black,REVEL,0.271,3
MSH6,Affected,missense,black,REVEL,0.682,3
MSH6,Affected,missense,black,REVEL,0.716,3
SPTBN1,Unaffected,missense,tan,REVEL,0.541,6
SPTBN1,Affected,missense,tan,REVEL,0.844,6
SPTBN1,Affected,missense,tan,REVEL,0.449,6
SPTBN1,Affected,missense,tan,REVEL,0.168,6
SPTBN1,Affected,missense,tan,REVEL,0.167,6
SPTBN1,Affected,missense,tan,REVEL,0.102,6
EML6,Affected,missense,black,REVEL,0.125,3
EML6,Affected,missense,black,REVEL,0.455,3
EML6,Unaffected,missense,black,REVEL,0.428,3
EML6,Affected,missense,black,REVEL,0.3,3
EML6,Unaffected,missense,black,REVEL,0.437,3
RTN4,Unaffected,missense,yellow,REVEL,0.129,4
RTN4,Affected,missense,yellow,REVEL,0.116,4
BCL11A,Affected,missense,greenyellow,REVEL,0.23,2
XPO1,Unaffected,missense,black,REVEL,0.723,3
XPO1,Affected,missense,black,REVEL,0.459,3
XPO1,Affected,missense,black,REVEL,0.534,3
XPO1,Affected,missense,black,REVEL,0.259,3
XPO1,Affected,missense,black,REVEL,0.264,3
CCT4,Affected,missense,yellow,REVEL,0.381,4
CCT4,Affected,missense,yellow,REVEL,0.303,4
UGP2,Unaffected,missense,tan,REVEL,0.339,6
RAB1A,Unaffected,missense,yellow,REVEL,0.876,4
ACTR2,Affected,missense,blue,REVEL,0.412,5
ANTXR1,Affected,missense,magenta,REVEL,0.792,1
PCYOX1,Affected,missense,tan,REVEL,0.037,6
PCYOX1,Affected,missense,tan,REVEL,0.23,6
PCYOX1,Unaffected,missense,tan,REVEL,0.196,6
CD207,Affected,missense,greenyellow,REVEL,0.02,2
NAGK,Affected,missense,yellow,REVEL,0.488,4
DYSF,Affected,missense,greenyellow,REVEL,0.174,2
DYSF,Affected,missense,greenyellow,REVEL,0.634,2
DYSF,Unaffected,missense,greenyellow,REVEL,0.226,2
DYSF,Affected,missense,greenyellow,REVEL,0.762,2
DYSF,Affected,missense,greenyellow,REVEL,0.137,2
DYSF,Affected,missense,greenyellow,REVEL,0.393,2
CCT7,Affected,missense,yellow,REVEL,0.686,4
DCTN1,Affected,missense,blue,REVEL,0.605,5
SUCLG1,Unaffected,missense,greenyellow,REVEL,0.776,2
CAPG,Affected,missense,tan,REVEL,0.36,6
MAT2A,Unaffected,missense,black,REVEL,0.231,3
USP39,Affected,missense,tan,REVEL,0.472,6
USP39,Affected,missense,tan,REVEL,0.324,6
SNRNP200,Affected,missense,yellow,REVEL,0.905,4
SNRNP200,Affected,missense,yellow,REVEL,0.905,4
SNRNP200,Affected,missense,yellow,REVEL,0.829,4
SNRNP200,Affected,missense,yellow,REVEL,0.48,4
SNRNP200,Affected,missense,yellow,REVEL,0.146,4
SNRNP200,Unaffected,missense,yellow,REVEL,0.292,4
SNRNP200,Affected,missense,yellow,REVEL,0.233,4
IL1RL1,Affected,missense,greenyellow,REVEL,0.1,2
IL1RL1,Affected,missense,greenyellow,REVEL,0.192,2
RALB,Affected,missense,tan,REVEL,0.922,6
UGGT1,Affected,missense,tan,REVEL,0.062,6
UGGT1,Affected,missense,tan,REVEL,0.636,6
POTEJ,Unaffected,missense,yellow,REVEL,0.393,4
POTEE,Unaffected,missense,greenyellow,REVEL,0.07,2
MGAT5,Affected,missense,greenyellow,REVEL,0.134,2
MGAT5,Affected,missense,greenyellow,REVEL,0.132,2
MCM6,Affected,missense,black,REVEL,0.195,3
MCM6,Affected,missense,black,REVEL,0.537,3
KIF5C,Affected,missense,blue,REVEL,0.956,5
KIF5C,Affected,missense,blue,REVEL,0.789,5
KIF5C,Affected,missense,blue,REVEL,0.76,5
KIF5C,Unaffected,missense,blue,REVEL,0.709,5
KIF5C,Affected,missense,blue,REVEL,0.141,5
ITGB6,Affected,missense,greenyellow,REVEL,0.477,2
TBR1,Affected,missense,greenyellow,REVEL,0.948,2
TBR1,Affected,missense,greenyellow,REVEL,0.929,2
TBR1,Affected,missense,greenyellow,REVEL,0.854,2
TBR1,Affected,missense,greenyellow,REVEL,0.927,2
TBR1,Affected,missense,greenyellow,REVEL,0.824,2
GORASP2,Affected,missense,tan,REVEL,0.146,6
DYNC1I2,Unaffected,missense,blue,REVEL,0.242,5
HNRNPA3,Affected,missense,greenyellow,REVEL,0.664,2
PRKRA,Affected,missense,blue,REVEL,0.569,5
NCKAP1,Affected,missense,greenyellow,REVEL,0.517,2
NCKAP1,Affected,missense,greenyellow,REVEL,0.664,2
HIBCH,Affected,missense,magenta,REVEL,0.888,1
MYO1B,Unaffected,missense,tan,REVEL,0.185,6
MYO1B,Unaffected,missense,tan,REVEL,0.581,6
SF3B1,Affected,missense,yellow,REVEL,0.293,4
SF3B1,Unaffected,missense,yellow,REVEL,0.068,4
